"Period","Incumbent.win.percentage"
0,0
1,49.51923077
2,51.92307692
3,46.15384615
4,58.17307692
5,55.76923077
6,56.73076923
7,50.48076923
8,60.57692308
9,61.05769231
10,55.28846154
11,52.40384615
12,62.01923077
13,55.76923077
14,58.65384615
15,51.44230769
16,50.96153846
17,56.73076923
18,61.53846154
19,57.69230769
20,61.05769231
21,54.80769231
22,51.44230769
23,55.28846154
24,56.73076923
25,58.65384615
26,56.25
27,58.65384615
28,58.17307692
29,56.25
30,57.21153846
31,56.73076923
32,53.84615385
33,60.09615385
34,60.09615385
35,61.05769231
36,57.21153846
37,56.73076923
38,56.25
39,60.09615385
40,53.36538462
41,59.61538462
42,57.69230769
43,67.30769231
44,57.69230769
45,59.13461538
46,56.25
47,53.84615385
48,59.61538462
49,59.13461538
50,62.98076923
51,57.69230769
52,60.09615385
53,61.53846154
54,56.73076923
55,58.65384615
56,64.42307692
57,57.69230769
58,61.53846154
59,64.42307692
60,59.13461538
61,62.01923077
62,56.73076923
63,64.42307692
64,59.61538462
65,66.82692308
66,57.21153846
67,64.42307692
68,58.17307692
69,62.98076923
70,64.90384615
71,61.05769231
72,62.98076923
73,61.53846154
74,66.34615385
75,65.86538462
76,55.76923077
77,64.90384615
78,59.61538462
79,62.01923077
80,60.09615385
81,62.98076923
82,59.61538462
83,58.65384615
84,61.05769231
85,60.09615385
86,60.57692308
87,67.78846154
88,64.42307692
89,60.57692308
90,59.13461538
91,65.38461538
92,57.21153846
93,61.53846154
94,60.09615385
95,64.42307692
96,62.01923077
97,65.38461538
98,64.42307692
99,59.13461538
100,59.61538462
101,62.5
102,63.46153846
103,65.86538462
104,63.46153846
105,66.82692308
106,62.01923077
107,61.53846154
108,64.90384615
109,62.5
110,62.98076923
111,67.78846154
112,62.5
113,55.76923077
114,60.09615385
115,59.13461538
116,67.30769231
117,58.65384615
118,67.30769231
119,54.80769231
120,59.13461538
121,59.61538462
122,58.17307692
123,59.61538462
124,59.61538462
125,57.21153846
126,59.13461538
127,59.61538462
128,56.25
129,59.13461538
130,66.34615385
131,61.53846154
132,64.90384615
133,62.01923077
134,62.98076923
135,66.34615385
136,66.82692308
137,59.61538462
138,64.90384615
139,61.05769231
140,61.05769231
141,62.5
142,57.69230769
143,58.17307692
144,60.57692308
145,59.13461538
146,64.90384615
147,62.98076923
148,65.38461538
149,66.82692308
150,60.57692308
151,57.21153846
152,63.46153846
153,58.65384615
154,62.01923077
155,63.94230769
156,64.90384615
157,62.5
158,60.09615385
159,58.65384615
160,61.05769231
161,58.17307692
162,62.01923077
163,50.96153846
164,61.53846154
165,60.57692308
166,62.98076923
167,63.46153846
168,63.46153846
