"Period","BLUE.y","RED.y"
0,42.78846154,44.23076923
1,38.46153846,48.07692308
2,40.38461538,45.67307692
3,45.67307692,42.78846154
4,45.67307692,42.78846154
5,49.51923077,41.34615385
6,46.15384615,41.82692308
7,43.26923077,46.15384615
8,44.71153846,46.15384615
9,43.26923077,46.15384615
10,42.30769231,48.55769231
11,44.71153846,44.23076923
12,45.67307692,39.42307692
13,48.55769231,42.78846154
14,40.86538462,46.63461538
15,48.55769231,42.78846154
16,42.30769231,49.03846154
17,46.15384615,44.71153846
18,42.78846154,46.63461538
19,45.67307692,46.15384615
20,43.26923077,44.23076923
21,43.26923077,45.19230769
22,40.38461538,48.07692308
23,44.23076923,46.15384615
24,42.30769231,45.19230769
25,44.23076923,44.71153846
26,42.30769231,45.19230769
27,40.38461538,50
28,45.67307692,46.63461538
29,37.01923077,49.51923077
30,47.59615385,44.71153846
31,41.34615385,48.55769231
32,45.67307692,45.67307692
33,42.78846154,45.67307692
34,43.26923077,48.55769231
35,46.63461538,45.19230769
36,43.26923077,48.07692308
37,42.78846154,44.23076923
38,38.94230769,50.96153846
39,47.11538462,38.46153846
40,38.46153846,50.96153846
41,45.19230769,45.67307692
42,45.19230769,49.51923077
43,41.82692308,45.19230769
44,47.59615385,46.15384615
45,43.26923077,45.19230769
46,44.23076923,45.67307692
47,41.82692308,45.19230769
48,43.75,44.71153846
49,43.26923077,45.67307692
50,43.75,44.71153846
51,45.67307692,45.19230769
52,40.38461538,46.15384615
53,39.42307692,51.44230769
54,41.82692308,49.03846154
55,42.78846154,50
56,42.78846154,46.63461538
57,40.86538462,48.55769231
58,41.82692308,47.59615385
59,40.38461538,50
60,41.34615385,50.48076923
61,42.78846154,46.15384615
62,46.63461538,45.67307692
63,41.82692308,46.63461538
64,43.75,47.59615385
65,44.71153846,44.71153846
66,46.63461538,42.78846154
67,45.67307692,41.34615385
68,40.38461538,47.59615385
69,36.53846154,54.80769231
70,40.38461538,50.48076923
71,42.78846154,48.55769231
72,43.75,47.59615385
73,46.63461538,44.71153846
74,39.42307692,49.51923077
75,43.26923077,42.78846154
76,45.19230769,45.67307692
77,43.75,41.82692308
78,47.59615385,44.71153846
79,45.19230769,45.67307692
80,44.23076923,45.67307692
81,39.90384615,54.32692308
82,41.34615385,49.03846154
83,37.98076923,50.96153846
84,43.26923077,47.11538462
85,43.26923077,47.11538462
86,45.67307692,45.67307692
87,44.71153846,42.78846154
88,45.19230769,44.23076923
89,41.34615385,50.96153846
90,47.11538462,43.75
91,43.75,44.71153846
92,43.75,45.67307692
93,48.07692308,45.67307692
94,45.67307692,41.82692308
95,52.88461538,38.46153846
96,51.92307692,39.42307692
97,49.03846154,42.30769231
98,49.03846154,44.71153846
99,45.19230769,47.11538462
100,46.15384615,46.63461538
101,45.19230769,43.26923077
102,48.55769231,38.94230769
103,48.07692308,41.82692308
104,52.88461538,40.38461538
105,50.48076923,38.46153846
106,44.23076923,43.75
107,48.55769231,43.26923077
108,47.59615385,42.78846154
109,45.67307692,44.71153846
110,51.92307692,39.90384615
111,49.51923077,38.94230769
112,49.03846154,40.38461538
113,42.78846154,46.63461538
114,48.07692308,37.5
115,50.48076923,42.30769231
116,48.07692308,40.38461538
117,49.51923077,43.75
118,46.15384615,43.75
119,48.07692308,41.34615385
120,46.63461538,44.23076923
121,45.67307692,42.30769231
122,48.07692308,40.38461538
123,54.32692308,35.57692308
124,48.07692308,39.42307692
125,50,38.94230769
126,45.19230769,43.26923077
127,48.55769231,42.30769231
128,53.36538462,38.94230769
129,53.36538462,39.90384615
130,54.80769231,34.61538462
131,56.25,34.61538462
132,54.32692308,37.5
133,50,38.46153846
134,56.73076923,33.65384615
135,49.03846154,39.90384615
136,50.96153846,35.57692308
137,54.32692308,37.01923077
138,55.28846154,36.53846154
139,53.36538462,36.53846154
140,55.28846154,36.05769231
141,50,37.98076923
142,53.84615385,36.05769231
143,54.80769231,37.98076923
144,47.59615385,39.90384615
145,56.25,32.69230769
146,48.07692308,41.82692308
147,49.03846154,41.34615385
148,46.15384615,42.78846154
149,51.44230769,38.46153846
150,50.48076923,36.53846154
151,50.48076923,41.82692308
152,44.23076923,45.67307692
153,46.15384615,46.15384615
154,53.84615385,39.42307692
155,46.15384615,42.78846154
156,47.11538462,41.82692308
157,47.11538462,44.71153846
158,49.03846154,40.86538462
159,49.03846154,45.19230769
160,36.53846154,49.51923077
161,46.15384615,45.67307692
162,39.90384615,46.63461538
163,43.26923077,46.15384615
164,44.23076923,46.63461538
165,50.48076923,40.38461538
166,49.03846154,40.86538462
167,42.30769231,47.11538462
168,39.90384615,51.44230769
